Date,Title,Artist
2000-04-22,It's So Hard,Big Punisher Featuring Donell Jones
2000-04-29,Bent,matchbox twenty
2000-04-29,Separated,Avant
2000-04-29,More,Trace Adkins
2000-04-29,Another Nine Minutes,Yankee Grey
2000-04-29,Flowers On The Wall,Eric Heatherly
2000-04-29,Back Here,BBMak
2000-04-29,(Hot S**t) Country Grammar,Nelly
2000-05-06,The Real Slim Shady,Eminem
2000-05-06,Let's Get Married,Jagged Edge
2000-05-06,It's Gonna Be Me,*NSYNC
2000-05-06,Absolutely (Story Of A Girl),Nine Days
2000-05-06,Prayin' For Daylight,Rascal Flatts
2000-05-13,Nothing As It Seems,Pearl Jam
2000-05-13,"Jumpin', Jumpin'",Destiny's Child
2000-05-13,Some Things Never Change,Tim McGraw
2000-05-13,I Hope You Dance,Lee Ann Womack
2000-05-13,With Arms Wide Open,Creed
2000-05-13,I Disappear,Metallica
2000-05-13,Me Neither,Brad Paisley
2000-05-13,I'll Be,Reba McEntire
2000-05-13,Love Sets You Free,Kelly Price & Friends
2000-05-13,Desert Rose,Sting Featuring Cheb Mami
2000-05-20,Dance Tonight,Lucy Pearl
2000-05-20,Monica,Before Dark
2000-05-20,Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co"
2000-05-27,The One,Backstreet Boys
2000-05-27,I Need You,LeAnn Rimes
2000-05-27,The Next Episode,Dr. Dre Featuring Snoop Dogg
2000-05-27,Wifey,Next
2000-06-03,What'Chu Like,Da Brat Featuring Tyrese
2000-06-03,3 Little Words,Nu Flavor
2000-06-10,I Think God Can Explain,Splender
2000-06-10,Whatever,Ideal Featuring Lil' Mo
2000-06-10,No Me Dejes De Querer,Gloria Estefan
2000-06-10,What About Now,Lonestar
2000-06-10,I Will Love Again,Lara Fabian
2000-06-10,You'll Always Be Loved By Me,Brooks & Dunn
2000-06-10,When You Need My Love,Darryl Worley
2000-06-17,Doesn't Really Matter,Janet
2000-06-17,I Wanna Be With You,Mandy Moore
2000-06-17,"Same Script, Different Cast",Whitney Houston & Deborah Cox
2000-06-17,Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias
2000-06-17,One Voice,Billy Gilman
2000-06-17,Riddle,En Vogue
2000-06-24,Crybaby,Mariah Carey Featuring Snoop Dogg
2000-06-24,It Must Be Love,Alan Jackson
2000-06-24,Incomplete,Sisqo
2000-06-24,That's The Way,Jo Dee Messina
2000-06-24,Taking You Home,Don Henley
2000-06-24,Cold Day In July,Dixie Chicks
2000-06-24,Take That,"Torrey Carter Featuring Missy ""Misdemeanor"" Elliott"
2000-07-01,Simple Kind Of Life,No Doubt
2000-07-01,I Think I'm In Love With You,Jessica Simpson
2000-07-01,No More,Ruff Endz
2000-07-01,What You Want,DMX Featuring Sisqo
2000-07-01,Got Beef,Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven
2000-07-08,Wonderful,Everclear
2000-07-08,Sour Girl,Stone Temple Pilots
2000-07-08,Faded,SoulDecision Featuring Thrust
2000-07-08,Dancing Queen,A*Teens
2000-07-08,Don't Call Me Baby,Madison Avenue
2000-07-15,Change Your Mind,Sister Hazel
2000-07-15,I Will...But,SHeDAISY
2000-07-15,No Matter What They Say,Lil' Kim
2000-07-15,Your Everything,Keith Urban
2000-07-15,As We Lay,Kelly Price
2000-07-15,Got It All,Eve & Jadakiss
2000-07-22,Who Let The Dogs Out,Baha Men
2000-07-29,Californication,Red Hot Chili Peppers
2000-07-29,Last Resort,Papa Roach
2000-07-29,Just Be A Man About It,Toni Braxton
2000-07-29,Callin' Me,Lil' Zane Featuring 112
2000-07-29,Dance With Me,Debelah Morgan
2000-08-05,Come On Over Baby (All I Want Is You),Christina Aguilera
2000-08-05,Don't Think I'm Not,Kandi
2000-08-05,The Light,Common
2000-08-05,Treat Her Like A Lady,Joe
2000-08-05,Country Comes To Town,Toby Keith
2000-08-05,West Side Story,LFO
2000-08-05,Cherchez LaGhost,Ghostface Killah
2000-08-12,Music,Madonna
2000-08-12,Lucky,Britney Spears
2000-08-12,It's My Life,Bon Jovi
2000-08-12,It's Always Somethin',Joe Diffie
2000-08-12,Let's Make Love,Faith Hill With Tim McGraw
2000-08-12,Most Girls,P!nk
2000-08-12,Shake Ya Ass,Mystikal
2000-08-12,Hey Papi,Jay-Z Featuring Memphis Bleek & Amil
2000-08-12,Imagine That,LL Cool J
2000-08-12,Ta Da,Lil' Mo
2000-08-19,Bounce With Me,Lil Bow Wow Featuring Xscape
2000-08-19,Give Me Just One Night (Una Noche),98 Degrees
2000-08-19,Bag Lady,Erykah Badu
2000-08-19,Case Of The Ex (Whatcha Gonna Do),Mya
2000-08-19,Baby U Are,Gerald Levert
2000-08-19,Best Of Intentions,Travis Tritt
2000-08-26,You're A God,Vertical Horizon
2000-08-26,Go On,George Strait
2000-08-26,Kiss This,Aaron Tippin
2000-08-26,Open My Heart,Yolanda Adams
2000-08-26,The Way I Am,Eminem
2000-08-26,Aaron's Party (Come Get It),Aaron Carter
2000-09-02,Deep Inside Of You,Third Eye Blind
2000-09-02,Feels Like Love,Vince Gill
2000-09-02,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Gether
2000-09-02,Kernkraft 400,Zombie Nation
2000-09-09,Pinch Me,Barenaked Ladies
2000-09-09,There You Are,Martina McBride
2000-09-09,The Little Girl,John Michael Montgomery
2000-09-09,Can't Fight The Moonlight,LeAnn Rimes
2000-09-09,Gotta Tell You,Samantha Mumba
2000-09-09,Bad Boyz,Shyne Featuring Barrington Levy
2000-09-09,Pull Over,Trina
2000-09-16,Liar,Profyle
2000-09-16,My Baby You,Marc Anthony
2000-09-16,Between Me And You,Ja Rule Featuring Christina Milian
2000-09-16,Can't Go For That,Tamia
2000-09-16,That's The Kind Of Mood I'm In,Patty Loveless
2000-09-23,Independent Women Part I,Destiny's Child
2000-09-23,Summer Rain,Carl Thomas
2000-09-23,You Should've Told Me,Kelly Price
2000-09-23,You Won't Be Lonely Now,Billy Ray Cyrus
2000-09-30,This I Promise You,*NSYNC
2000-09-30,I Wish,R. Kelly
2000-09-30,That Other Woman,Changing Faces
2000-09-30,Just Another Day In Paradise,Phil Vassar
2000-09-30,What's Your Fantasy,Ludacris Featuring Shawnna
2000-09-30,He Loves U Not,Dream
2000-10-07,She Bangs,Ricky Martin
2000-10-07,E.I.,Nelly
2000-10-07,Beautiful Day,U2
2000-10-07,911,Wyclef Jean Featuring Mary J. Blige
2000-10-07,Without You,Dixie Chicks
2000-10-14,Shape Of My Heart,Backstreet Boys
2000-10-14,We Danced,Brad Paisley
2000-10-14,Just Friends (Sunny),Musiq
2000-10-14,What Means The World To You,Cam'Ron
2000-10-21,If You're Gone,matchbox twenty
2000-10-21,Girls Dem Sugar,Beenie Man Featuring Mya
2000-10-21,My Next Thirty Years,Tim McGraw
2000-10-21,I Lost It,Kenny Chesney
2000-10-21,Loser,3 Doors Down
2000-10-21,Born To Fly,Sara Evans
2000-10-21,My Love Goes On And On,Chris Cagle
2000-10-28,I Just Wanna Love U (Give It 2 Me),JAY-Z
2000-10-28,Sleepwalker,The Wallflowers
2000-10-28,Hemorrhage (In My Hands),Fuel
2000-10-28,Straight Up,Chante Moore
2000-10-28,Toca's Miracle,Fragma
2000-11-04,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent"
2000-11-04,Crazy For This Girl,Evan And Jaron
2000-11-04,Pop Ya Collar,Usher
2000-11-04,My First Love,Avant Featuring KeKe Wyatt
2000-11-04,www.memory,Alan Jackson
2000-11-04,Stan,Eminem Featuring Dido
2000-11-04,No More (Baby I'ma Do Right),3LW
2000-11-11,Ms. Jackson,OutKast
2000-11-11,Rollin',Limp Bizkit
2000-11-11,Do You,Funkmaster Flex Featuring DMX
2000-11-11,Oklahoma,Billy Gilman
2000-11-11,Where I Wanna Be,Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt
2000-11-18,Again,Lenny Kravitz
2000-11-18,Tell Her,Lonestar
2000-11-18,Meanwhile Back At The Ranch,The Clark Family Experience
2000-11-18,Souljas,Master P
2000-11-25,Original Prankster,The Offspring
2000-11-25,Emotional,Carl Thomas
2000-11-25,How Many Licks?,Lil' Kim Featuring Sisqo
2000-11-25,So In Love With Two,Mikaila
2000-11-25,Bow Wow (That's My Name),Lil Bow Wow
2000-12-02,If I Am,Nine Days
2000-12-02,Stronger,Britney Spears
2000-12-02,Babylon,David Gray
2000-12-02,Burn,Jo Dee Messina
2000-12-02,The Itch,Vitamin C
2000-12-02,South Side,Moby Featuring Gwen Stefani
2000-12-02,Spanish Guitar,Toni Braxton
2000-12-09,Love Don't Cost A Thing,Jennifer Lopez
2000-12-09,My Everything,98 Degrees
2000-12-09,Crazy,K-Ci & JoJo
2000-12-09,Ashes By Now,Lee Ann Womack
2000-12-09,Don't Tell Me,Madonna
2000-12-09,It's Over Now,112
2000-12-09,One Woman Man,Dave Hollister
2000-12-16,Project Chick,Cash Money Millionaires
2000-12-16,A Little Gasoline,Terri Clark
2000-12-16,Danger (Been So Long),Mystikal Featuring Nivea
2000-12-16,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott
2000-12-16,Could It Be,Jaheim
2000-12-23,Liquid Dreams,O-Town
2000-12-23,Mamacita,Public Announcement
2000-12-23,There Is No Arizona,Jamie O'Neal
2000-12-23,Promise,Jagged Edge
2000-12-23,This Everyday Love,Rascal Flatts
2000-12-23,Wild Horses,Garth Brooks
2000-12-23,But For The Grace Of God,Keith Urban
2000-12-23,Put It On Me,Ja Rule Featuring Lil' Mo & Vita
2000-12-23,All Good?,De La Soul Featuring Chaka Khan
2000-12-23,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg
2000-12-30,The Christmas Shoes,NewSong
2000-12-30,Still On Your Side,BBMak
2000-12-30,You Shouldn't Kiss Me Like This,Toby Keith
2000-12-30,X,Xzibit
2000-12-30,Angel,Shaggy Featuring Rayvon
2000-12-30,Thank You In Advance,Boyz II Men
2000-12-30,I Know,Sunday
2001-01-01,Where Are You Christmas?,Faith Hill
2001-01-01,You Make Me Sick,P!nk
2001-01-01,Stutter,Joe Featuring Mystikal
2001-01-01,Butterfly,Crazy Town
2001-01-01,Bouncing Off The Ceiling (Upside Down),A*Teens
2001-01-01,Lady (Hear Me Tonight),Modjo
2001-01-01,Cha-Cha Slide,Mr. C The Slide Man
2001-01-08,Stranger In My House,Tamia
2001-01-08,Thank You,Dido
2001-01-08,After Party,Koffee Brown
2001-01-15,By Your Side,Sade
2001-01-15,A Good Day To Run,Darryl Worley
2001-01-15,One More Day,Diamond Rio
2001-01-15,Southern Hospitality,Ludacris
2001-01-22,Jaded,Aerosmith
2001-01-22,Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera
2001-01-22,I Did It,Dave Matthews Band
2001-01-22,Who I Am,Jessica Andrews
2001-01-22,Breathless,The Corrs
