,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit
4620,Natema,Run Away - Radio Mix,5aI2mNV9bxAIGXW9CgiaZf,15,2015,groove,0.804,0.77,4,-4.013,1,0.0335,0.0141,0.00932,0.248,0.967,122.021,224324,4,False
4621,Sara Evans,Slow Me Down,6Zf4AMWgnUDobtAixiIqnZ,35,2014,country,0.597,0.602,7,-4.99,1,0.0292,0.214,0.00032,0.313,0.262,91.999,196160,4,True
4622,Kelly Clarkson,Mr. Know It All,4R986MioJqOfVSNrpUbzRF,27,2012,dance,0.67,0.778,5,-5.926,1,0.0285,0.0319,0.0,0.0654,0.459,95.98,232533,4,True
4623,luxury elite,Vengeance,6NlilOuDfEi1cAkEjYsGmQ,21,2014,chill,0.578,0.493,9,-11.969,1,0.0316,0.0803,0.613,0.393,0.288,74.008,167443,4,False
4624,Dean Blunt,COUNTRY,0OLVUIdW0RlIxQjeLULOhL,22,2014,electronic,0.479,0.868,1,-7.715,1,0.344,0.209,0.726,0.201,0.493,48.888,130987,4,False
4625,Caroline Polachek,Pretty In Possible,4Q5LWPIKCuV6LRdDeqOYM7,63,2023,electro,0.706,0.617,1,-9.362,1,0.0392,0.106,0.000415,0.113,0.247,99.995,216375,4,False
4626,Trivium,Insurrection,2MQ9NWMZfi0qPUhDR6sRCL,34,2008,groove,0.544,0.992,9,-3.329,1,0.0931,4.49e-05,9.68e-05,0.063,0.257,109.008,297053,4,False
4627,Olodum,I Miss Her,7dr6MT0tohLUZN7ALE00fJ,17,2018,samba,0.69,0.475,9,-11.752,1,0.0695,0.657,1.59e-06,0.268,0.879,79.943,244133,4,False
4628,Hammock,Cold Front,2iF7qk67K85hLjMXCE2QGY,24,2012,ambient,0.174,0.47,6,-11.87,0,0.04,0.43,0.972,0.105,0.0387,119.337,418624,4,False
4629,Midland,Drinkin' Problem,1vBpwxsLVwaR4evBIaFmqD,68,2017,country,0.622,0.763,9,-6.4,1,0.0263,0.055,8.91e-06,0.313,0.621,102.0,220800,4,True
4630,George Strait,Run,0ymeeZyOcvmsKHAeTU53rw,28,2017,country,0.493,0.692,11,-7.19,0,0.0314,0.508,0.00136,0.302,0.285,75.621,244093,4,True
